要素,カウント
重視,5
使命,5
創業者,3
松下幸之助,3
物心一如,1
繁栄,2
以来,3
課題解決,3
人々,4
幸せ,14
時代,3
山積,1
確度,1
二つ,4
フォーカス,4
喫緊,2
二つ目,1
総合力,1
発揮,12
社会環境,1
温暖化,2
都市化,2
人口,1
動態,1
消費,2
問題,8
生物多様性,1
喪失,1
余剰,1
過疎化,1
多様化,1
健康寿命,1
延伸,1
阻止,1
循環,14
最大,13
認識,25
ビジョン,5
Panasonic GREEN IMPACT,15
バリュー・チェーン,10
2億,2
世界,4
3億,1
Milestone,3
1億,9
事業活動,12
責務,4
国際的,5
認知,2
電化,4
転換,2
知見,12
技術力,2
発表,3
期待,23
空,15
空調,15
SCM,6
ソフトウエア,2
3つ,5
持株会社,8
6割,4
重点的,5
継続的,6
メンバー,10
密,2
議論,43
鍵,3
技術面,4
双方,2
ポテンシャル,1
供給,7
準備,5
レアメタルレス,1
安全性,8
直結,2
品質,3
業界,12
リード,6
現時点,3
最高,4
エネルギー密度,6
Wh,2
L,4
進化,19
航続距離,1
搭載,1
増大,1
応え,1
レアメタル,1
世界で初めて,1
コバルト,1
含有量,2
Ｗh,1
体積,1
WH,1
世代,1
3倍,1
技術的,1
ニッケル,1
レス,2
技術開発,11
累計,10
230万,1
相当,5
事案,1
発生,7
継続,25
成長性,5
北米市場,2
中心,11
事業拡大,5
カーボンニュートラル,10
平均,8
急速,3
米国政府,2
国策,2
コスト,7
セル,7
形状,2
利便性,1
重要視,1
充電,2
冷却,1
引き合い,3
激化,1
維持,9
私自身,4
訪問,4
自ら,11
眼,1
現場,16
116回,3
定時株主総会,8
算出,8
ネバダ,7
作業者,2
入れ替わり,1
経験,11
モノ,13
ノウハウ,2
蓄積,2
プロジェクト,5
現地,2
思想,1
定着,1
生産能力,10
射程,1
効率,8
生産設備,4
償却,9
メンテナンス,3
人件費,1
原価,1
割合,6
角形,1
設備,8
不可欠,2
建設,10
カンザス,10
設計,5
反映,14
GWh,9
設備投資,5
人員,2
見込み,3
カンザス州,6
政府,1
税制,1
優遇,1
確保,15
絶大,1
現地調達,1
輸送,4
距離,3
要素,11
カーボンフットプリント,2
具体,9
レッドウッド,1
正極,1
銅,1
箔,1
契約,3
締結,4
カナダ,1
NMG,1
Nouveau,1
Monde,1
Graphite,1
Inc,1
再生可能エネルギー,12
精錬,1
低位,1
黒鉛,1
オフテイク,1
供給契約,5
覚書,1
研究,8
集約,4
増強,5
大阪,2
住之江,1
生産性,8
⾨真,5
次世代,4
源流,1
リソース,2
投入,4
採用,4
Rucid,1
高級,2
ヘキサゴンプルス,1
商用車,1
マツダ,2
SUBARU,2
中長期的,5
パートナーシップ,2
協議,2
顧客,7
開拓,1
本格的,1
昨年,2
量産,3
和歌山,2
大規模,3
4倍,1
必要,47
資金調達,1
オプション,2
機動,1
将来的,1
Gwh,1
民生用,1
IRA,14
インフレ抑制,7
ベース,8
一人,4
接点,3
デジタル,15
提案,8
Synergy,1
PanasonicWELL,1
本部,2
指揮,1
Google LLC,1
アップル,1
活躍,2
Yoky,2
Matsuoka,2
松岡陽子,2
横断,4
題,2
環球,1
入れ替え,3
視野,3
取引,4
適合,3
使用,16
規律,8
実行,10
涯,1
立地,3
ポジション,2
定量,3
定性,3
ベスト,2
オーナー,2
カーブアウト,1
案件,12
実感,1
獲得,4
良否,1
巧拙,1
最適,5
CAGR,4
相対,2
シェア,2
ROIC,11
キャッシュ,7
CSO,5
隅田,2
梅田,6
本来,2
自主,16
考え方,18
十分,7
連携,13
円グラフ,2
規模,8
方向,2
次第,2
売却,7
終息,2
数字,1
500億円,5
電機,1
復活,1
同等,1
営業利益率,6
健,2
お客,1
康,2
決,1
決り,1
解,2
殿様,1
適,2
涯生,1
安,1
康健,1
球,1
問,1
全快,1
環,1
キャピタル,7
アロケーション,7
変更,5
配当,14
資産,9
基本,29
8兆円,4
6兆円,2
連結,15
配当性向,8
目安,6
安定的,6
リターン,3
対価,2
Sustainable,3
持続的,5
委員長,4
経過,1
伝統,2
発展,4
世の中,3
決意,1
お願い,1
パナソニックトップメッセージ,1
品田,1
正弘,1
Well,4
ビーイング,1
Sustainability,4
being,3
両立,15
地球,5
事業体,1
開催,14
空調設備,4
電材,7
新事業,3
ピース,1
補完,1
他社,7
リーダー,8
候補,4
カテゴリー,5
分類,1
紐,2
メリハリ,1
サービス,21
アプライアンス,5
冷蔵庫,3
電子レンジ,1
炊飯器,1
洗濯機,3
掃除機,1
美,1
理容,1
家庭,6
空調機器,3
業務用,4
換気,1
送風,1
空気清浄機,1
空間除菌,1
脱臭,1
コールドチェーン,2
ソリューションズ,5
ショーケースエレクトリックワークス,1
照明器具,1
ランプ,1
太陽光発電,10
燃料電池,9
コンプレッサー,1
自転車,1
介護,5
イメージ,7
エレクトリック,3
ワークス,3
ベストパートナー,1
イ,2
フ,1
ラ,1
提,1
供人,1
質,6
B2B,3
水素,21
冷凍機,2
炭素,7
B2C,1
白物家電,4
エイジフリーサービス,1
電動自転車,1
Life,1
TECH,1
ideas,1
ブランド,7
新規,7
起点,4
信頼,4
先見,1
600億円,2
けん引,2
増益,6
原材料,5
物流費,2
高騰,6
外部,12
悪化,4
価格,5
改定,6
カバー,3
核,1
収益力,1
合理化,3
吸収,3
900億円,3
上積み,1
550億円,1
立ち上がり,1
先行投資,1
増販,2
付加価値,11
改革,4
エナジーオートモーティブ,1
持続,11
モビリティ,9
ミッション,1
追求,4
愛,1
出会い,1
チーム,2
永易,2
正,2
吏,2
インフォテインメント,1
エレクトロニクス,4
ヘッドアップディスプレイ,1
スピーカー,1
スイッチ,1
先進,1
運転支援,1
ADAS,1
デバイス,8
バ,1
イス,1
ミラーオートモーティブシステムズ,1
仮想化,1
複数,8
コンピューター,1
高性能,1
処理,1
計上,9
担保,3
件名,1
受注,1
UX,2
シニア,2
エグゼクティブ,4
ターゲット,1
配車,1
計画,12
自動,3
作成,6
新サービス,1
完了,7
依存,2
方向性,3
多様性,11
商品化,1
CN,2
OIC,1
6.4%,1
当初,7
修正,4
注力,11
為替,7
換算,6
クロス,2
伸長,4
増加,12
着実,7
部材,3
減少,7
挽回,1
堅持,1
コネクトトップメッセージ,1
選択と集中,1
6つ,1
事業領域,5
カルチャー,5
源泉,6
自負,1
プレジデント,1
樋口,1
泰行,1
アビオニクス,3
通信,5
オートメーション,5
電子部品,2
実装,5
溶接機,2
メディア,4
プロジェクター,1
カメラシステムモバイルソリューションズ,1
パソコン,1
タブレット,1
施工,1
保守,1
サービスブルーヨンダー,1
モバイルソリューションズ,1
ブルーヨンダー,14
消去,1
調整,13
金額,7
マイナス,2
表示,9
アビオ,4
クス,3
旅客,1
機体,1
基調,1
IFE,2
機内,1
エンタメ!,1
導入,22
ハードウエア,1
両面,3
地位,2
確立,2
ドル,1
徹底的,1
60億円,1
アビオニクス・ブルーヨンダー,1
4.6%,1
下期,3
体質,4
120億円,1
クス・ブルーヨンダー,1
エンターテインメント・モバイルソリューションズ・,2
カンパニー,2
20%,3
シフト,3
人材戦略,3
キャリア,10
オーナーシップ,2
自律的,1
公正,4
ダイバーシティ,3
ハラスメント,9
厳正,1
15%,2
筋肉質,1
エナジーインダストリー,1
坂本,1
真治,1
4つ,7
コア,5
ウェイト,2
人的,4
資本,22
業務効率化,3
電子,2
導電性高分子,1
xEV,1
フィルム,1
アルミハイブリッドコンデンサ,1
モータ,2
サーボモータ,1
PLC,1
プログラマブルコントローラ,1
光,3
川砂,1
レーザー,1
マーカ,1
半導体,4
成形,11
市況,4
減益,5
適正化,1
前年,7
良,2
原資,5
緩やか,1
増産,2
人財,1
ICT,2
端末,2
本格,2
速度,1
緩慢,1
17%,1
4コア,2
高校1年,1
独自,5
自己完結,1
域外,1
最適化,4
代表的,1
アプリケーション,1
予測,1
各種,3
調査,5
基,2
推計,1
25%,1
通信インフラ,1
6%,2
7%,1
9%,3
1兆円,2
全社,8
18%,1
7割,1
5割,1
CONNECT,2
Ed,1
コネクティッド,1
Autonomous,1
Automated,1
自動化,2
Shared,1
シェアリング,2
Electric,1
頭文字,1
只信,1
一生,1
矛盾,1
調和,4
生活インフラ,2
民生,8
ESG,3
3兆円,3
中核,2
モジュール,2
二次電池,3
ニッケル水素電池,1
高校2年,2
予定,5
開発中,1
建,3
高度,2
CFP,6
ロス,2
戦略的,1
300億円,1
12%,1
比,3
補助金,6
骨子,1
急伸,1
ユニット,2
一体化,1
重複,1
信頼性,3
省電力,1
競合,5
差別化,2
二輪,1
THE SOLUTION,1
共創,7
現,1
事業戦略,7
77兆円,1
65兆円,1
97兆円,1
16%,1
三角形,17
博和,5
進捗状況,2
堅調,1
需要拡大,2
航空,1
販売増,2
増収,2
上海,2
ロックダウン,1
景況感,1
個々,2
運営,7
投下,3
安定性,4
資本コスト,1
意識,4
株主資本コスト,1
念頭,2
純利益,3
積み上げ,1
拡充,3
配分,3
原則,16
的確,2
M,1
資金需要,1
柔軟,4
当期純利益,20
還付,2
建屋,2
工事,1
着工,1
lucid,1
販路拡大,2
チェコ,3
住宅,2
エア,2
買収,6
BY,5
強固,1
組織,6
Native,1
SaaS,2
ARR,2
NRR,2
四半期,3
前年比,3
株式,28
上場,2
総合的,1
Annual,1
Recurring,1
Revenue,2
経常,1
Net,3
Retention,1
浸透,4
真摯,2
施策,7
スピーディ,4
決裁,1
引き上げ,1
意思決定,12
紹介,1
権限,6
独立,15
遠心力,1
狙い,1
求心力,2
意味,2
グループガバナンス,2
牽制,2
干渉,1
緊張感,1
成立,1
手綱,1
遠心,1
バランス,2
一体,3
Debt,2
倍率,2
0倍,2
0.8倍,1
モニタリング,11
利益配分,3
投,2
資,2
配当金,6
趣旨,2
過度,1
インフレ,1
抑制,3
エネルギー政策,1
充当,1
宣言,2
1つ,4
環境問題,2
想定,4
昨年度,1
不足,4
解消,1
回復の兆し,1
自動車,2
見合い,1
増収増益,1
ニア,2
考え,3
大前提,2
カー,3
メーカー,4
要望,2
コスト面,1
戦略上,1
一定,3
投資誘致,1
インセンティブ制度,1
申請,1
受理,1
回収,2
期間中,1
逸脱,1
近年,2
追い風,1
先般,1
合意,2
多額,1
初期,1
同様,5
土地,1
論点,4
投資金額,1
キャッシュイン,1
フロー,2
キャッシュアウト,1
ズレ,1
考慮,3
適時適切,1
意思,9
PER,4
分母,2
株主資本比率,2
45%,1
上昇,4
利益率,3
総資産,10
回転率,3
レバレッジ,3
決算説明会,3
バランスシート,1
任意,3
数値,6
関心,3
本年,1
説明責任,5
責任者,6
声,4
ステージ,1
行動,10
PLAN,5
抜粋,1
170万,2
OWN,4
算定,6
追加,3
冷媒,3
漏洩,1
廃棄,4
精緻,1
私たち,4
精度,1
積極的,1
排出削減,4
可視化,2
CE,9
再生,11
樹脂,19
使用量,3
モデル,10
Circular,2
Economy,2
CTO,7
ロボティクス,5
リーダーシップ,3
一緒,1
人材育成,2
歴史,2
業界標準,2
国際規格,1
標準化,8
認知度,2
規格化,1
健やか,1
テクノロジー,6
小川,2
立夫,2
トン,2
カテゴリ,5
910万,1
CONTRIBUTION,2
830万,1
300万,2
99.1%,1
GIP,4
ｰ,1
−2,2
当該,7
年度,5
減算,1
多量,1
ライフサイクル,1
量,3
電気,8
排出係数,2
IEC,4
再資源化,4
最終,1
処分,1
利用,9
質量,1
増減,3
カッコ内,1
バウンダリ,1
IEA,1
WORLD,1
Energy,2
Outlook,1
2度,1
シナリオ,1
TCFD,1
IM,1
PAC,1
T 1,1
発信,8
C,10
O,7
合計,12
順調,1
気候変動,2
抑止,2
社会的,1
一般財団法人,1
省エネルギーセンター,2
主催,2
省エネ大賞,4
会長,6
受賞,6
LX,1
シリーズ,1
連続,2
ルーム,1
エアコン,3
唯一,1
ECO,2
VC,2
協働,2
北東アジア,8
CIS,1
東南アジア,1
大洋州,2
南アジア,1
中東,1
マップ,1
中南米,1
PEDJM,2
モーダルシフト,1
低公害車,1
バイオディーゼル,1
燃料,1
直送,1
積載率,1
物流,5
パートナー,11
従来,11
努力,2
由来,5
クレジット,2
電力,8
Value,1
Creation,1
Activity,1
コラム,3
確実,2
計測器,1
稼働,1
制御,5
利活用,8
創,1
蓄,1
優先順位,1
FEMS,1
Factory,1
Management,2
System,1
先進的,2
革新的,1
蓄え,1
ネルギー,1
残余,1
パナソニックエレクトロニックデバイス,1
江,1
MW,2
ポンプ,1
インバーター,1
PECIN,2
77度,1
W,4
太陽光発電設備,1
I,3
REC,1
カーボン,1
八日市,1
PPA,1
Power,1
Purchase,1
Agreement,1
設置,8
太陽光パネル,2
発電,8
724度,1
4K,2
蓄電池,1
有効活用,2
普及,3
化石燃料,1
効果,2
5倍,1
900万,1
置換,1
系統,1
負荷,2
気温,1
猛暑,1
必需品,1
HID,1
照明,6
LED,2
阪神甲子園球場,2
光源,1
画像,2
演出,2
41回,1
一般社団法人,1
学会,1
スタジアム,1
コラムサーキュラーエコノミー,1
完成,1
急激,2
ガス,2
エネルギー源,1
低温,1
IoT,1
遠隔,3
生産拠点,1
100万,2
規制強化,1
先取り,1
日系,1
自然,2
平面,1
照度,1
快適性,1
適所,2
30%,1
滋賀県草津市草津,1
太陽電池,4
自家発電,1
RE,1
実証,4
無錫,1
PECW,1
27度,1
中規模,1
商用,1
コンセプト,2
顧客価値,3
経済成長,1
リペア,1
refurbish,1
リマニュファクチュアリング,1
特性,4
供給量,1
ゼロ・エミッション,2
地球環境,2
リマニュファクチュアリングリファービッシュリペア,1
循環資源,1
シェアリングプラットフォームエコデザイン,1
分解,3
フリー,5
グリーン,4
実用化,2
無機,2
シリコン,1
有機,1
ハイブリッド,1
特徴,3
塗布,4
ビル,1
窓,1
壁面,1
着手,2
国立研究開発法人,1
新エネルギー,1
機構,2
NEDO,1
委託,1
業務,27
乾燥,1
形成,1
製法,1
インクジェット,1
レイアウト,1
自由,4
建材,3
一体型,3
Building,1
Integrated,1
Photovoltaic,1
BIPV,2
Fujisawa,2
サスティナブルスマートタウン,1
数年,1
付,2
プレスリリース,2
世界初,1
ガラス,1
サステイナブル,1
スマート,1
タウン,1
生成,4
装置,1
小型化,1
消費電力,4
方式,7
アルカリ,2
PEM,1
プロトン,1
交換,2
膜,1
費用,3
酸素,3
反応,4
逆,1
CES,2
陽極,1
サンプル,1
提供開始,1
出展,1
完全,3
生分解,8
セルロースファイバー,6
マイクロプラスチック,2
昨今,1
海洋,1
石油,2
天然資源,1
海洋汚染,1
防止,5
国連,2
世界的,1
植物由来,3
成分,1
濃度,4
バイオマス,1
複合,1
加工,1
既存,3
ポリプロピレン,1
汎用,1
強度,2
耐久性,1
用途,1
流動性,1
複雑,1
ポリ乳酸,1
ブレンド,1
適正,1
添加,1
1mm,1
薄肉,1
弾性率,1
着色,2
白色,1
ペレット,1
成功,5
素材,1
褐色,1
木質,2
デザイン性,2
バイオプラスチック,1
協会,1
認証,2
バイオマスプラ,1
マーク,1
取得,4
筐体,1
大物,1
外装,1
美容,1
服飾,1
衣料品,1
日用品,1
飲料,1
食品,1
容器,1
持続可能,2
製品化,1
55%,1
kinari,2
販売開始,1
デザイン,3
FUTURE,2
適用,9
空気,2
原料,1
食料,4
バイオテクノロジー,1
光合成,2
微生物,1
主原,1
植物,1
物質,2
分泌,2
液体,1
農作物,2
散布,1
活性,2
病害,1
耐性,1
収穫,1
1.4倍,1
固定,3
自然環境,1
効力,1
生物,1
伝統的,1
農業現場,1
無理,2
一つ一つ,2
道筋,1
模索,1
全体像,1
生産力,1
食糧,2
バイオ,1
代,1
機能安全,1
放送,1
携帯電話,1
日々,3
秩序,1
健全,4
消費者,1
デ・ファクト,1
標準,7
国際標準,3
デジュール,1
ルールメイキング,1
標準化団体,1
協議会,1
コンソーシアム,1
主導,1
WBCSD,4
O2,1
差分,1
定義,4
統一,1
企業評価,1
COP,1
パビリオン,1
経済発展,1
リーグ,2
必要性,1
ガイダンス,2
発行,2
規格,2
G7,1
札幌,1
気候,2
環境大臣,1
会合,1
文書,1
明記,2
金融,1
意義,1
後押し,4
志,1
持続可能な開発,1
世界経済,1
国際電気標準会議,1
経済産業省,6
未来社会,1
取組,1
官,1
Xリーグ,1
指針,2
映像,2
後半,2
前半,1
デジタル放送,1
符号化,1
MPEG,1
デジタル著作権管理,1
光ディスク,1
プラズマテレビ,6
測定,3
エコーネット,1
スマートシティ,1
シティサービスレジリエンス,1
宅内,1
配電,1
パワーコンディショナー,1
1次,1
2次電池,1
ロボット,3
中旬,2
サービスロボット,1
搬送,1
3G,1
4G,2
5G,1
6G,1
無線アクセス,1
コードレス電話,1
密着,1
場面,2
強化学習,1
マルチエージェントシステム,1
コンピュータビジョン,1
データ分析,1
自然言語処理,1
音声処理,1
マテリアルズインフォマティクス,1
顔認証,2
テレビ,6
ビデオ,1
画像処理,1
鮮明,1
顔,1
学習,3
Deep learning,1
世界最高,1
セキュア,1
個人,13
情報管理,1
利用者目線,1
ユーザビリティ,1
世界トップレベル,3
オフィス,2
退室,1
管理,11
利便,1
性向,1
ワークスペース,1
社会問題,1
労働力,2
走行,2
管制,1
オペレーター,1
知識,4
1人,2
操作,1
走行中,1
エラー,1
不意,1
トラブル,1
エリア,1
労働環境,3
一貫,2
開発プロセス,2
フィジカル,1
簡単,2
先端,2
カンファレンス,1
ECCV,1
IROS,1
応募,3
採択,1
人間,4
品質保証,1
For,1
Humans,3
By,1
WITH,1
制定,2
チェック,1
スタート,2
アプローチ,1
仕組み,9
事業展開,3
研究者,1
方々,4
Yohana,2
コラムグループシナジー,1
社内,18
同時,2
多面的,2
子会社,1
IP,1
PIPM,2
対外的,2
グループ会社,4
法的,2
名義,2
管理籍,5
保持,3
負担,1
収受,1
社内外,4
図,4
グループシナジー,2
事業化,1
知財,3
PF,3
本社,1
一般販売,1
GXTI,3
全世界,4
順位,1
B,2
D,5
E,3
gxA,2
J,2
N,2
gxC,1
H,1
K,1
Q,1
三洋電機,1
S,1
T,4
特許庁,2
令和,1
特許情報,2
要約,1
URL,1
tokkyo,1
joho,1
bunseki,1
houkokusho,1
youyaku,1
pdf,1
JPO,1
go,1
.jp,1
出願,3
EPO,1
PCT,1
籍,1
俯瞰,1
4位,1
上位,3
EW,2
分散型,1
貴金属,1
触媒,1
パーパス,1
無形資産,7
一環,2
保有,2
検索システム,1
インデックス,1
動き,2
イノベーション,5
未来,1
深化,2
WEBサイト,5
Holdings,4
人の力,1
インフォメーション,3
CIO,3
玉置,2
肇,2
iKON,1
超,1
負の遺産,2
陳腐,1
IT,15
旧態依然,1
習慣,1
延長線,1
抜本的,1
チカラ,2
思い,5
FRAMeWORK,2
インフラストラクチャー,1
刷新,3
デジタル化,3
オペレーティング,3
デリバリー,2
協力会社,1
DEI,17
オープン,2
フラット,2
職場,10
サイロ,1
脱却,1
仕事,4
排除,2
真,4
DX,7
24万人,1
主役,1
分社,1
幹部,10
合宿,2
土台,1
アジェンダ,2
全員,4
表明,3
署名,2
システム化,1
現状,2
経営者,10
コミット,3
各社,2
指針の策定,1
言葉,3
啓蒙,1
InclusionPanasonic,1
フェーズチェンジ,1
底上げ,2
足元,1
X1,1
最新,1
圧倒的,1
Today,1
企画,7
レガシーモダナイマスタデータ,1
CROWD,4
組成,1
Security,1
上期,1
Zero,1
並行,1
レガシーシステム,1
モダナイゼーション,1
マスタ,1
プログラム,4
末,6
50%,5
間接,1
ペーパー,1
OS,1
40%,2
57%,1
効率的,3
情報システム部,1
ヒト,1
カネ,1
人材マネジメント,1
ベンダーガバナンス,1
プロフェッショナル,1
類型,2
研修,8
グローバルベンダー,1
プロ,1
コスト削減,1
One,2
ゼロ・トレランス,1
心理的,1
重力,1
呪縛,1
残存,1
昭和,1
ホワイトカラー,1
agile,4
300時間,1
塾,1
道場,1
塾生,1
輩出,1
手法,2
資格,1
AIアシスタント,3
画面,1
9万人,1
3か月,1
70万,1
3万人,1
17万人,1
最先端,1
波及,1
絶え間,1
アイデア,2
夢,1
セキュリティ,1
有機的,1
網羅,1
集中的,1
緊密,1
育成,5
戦略グループ,1
CHRO,8
経営社員,1
稼業,2
衆知,2
責任感,2
風土,3
果敢,1
皆,3
知恵,2
常態化,1
PLP,1
ケイパビリティ,2
階層,3
スキル,3
ヒューマン・リソース,2
心身,4
働きがい,5
状態,4
三島,2
茂樹,2
活,2
大切,1
存在意義,1
具現,1
前提,6
持,1
3つの柱,2
Leadership,1
Principles,1
前述,2
