市場,業種,コード,銘柄名,file_name
プライム,電気機器,67620,ＴＤＫ,integrated_report_pdf_2023_ja.pdf
プライム,電気機器,68100,マクセル,MAX_IR23_J_interactive.pdf
プライム,電気機器,68410,横河電機,ir_2023yreports_facingpage.pdf
プライム,電気機器,68560,堀場製作所,20230621_HR_jp.pdf
プライム,電気機器,69520,カシオ計算機,integrated-2023.pdf
プライム,電気機器,69630,ローム,JP_rohm_group_integrated_report_2023_view.pdf
プライム,電気機器,69760,太陽誘電,XSas.pdf
プライム,電気機器,72760,小糸製作所,KOITO_INTEGRATED_REPORT_2022_full.pdf
プライム,電気機器,77350,ＳＣＲＥＥＮホールディングス,SCREEN_ARJ_2023.pdf
プライム,電気機器,77510,キヤノン,canon-int-2024-j.pdf
プライム,電気機器,77520,リコー,all_J_spread.pdf
プライム,輸送用機器,70120,川崎重工業,23_houkokusyo.pdf
プライム,輸送用機器,72030,トヨタ自動車,2023_001_integrated_jp.pdf
プライム,輸送用機器,72590,アイシン,aisin_ar2023_a3.pdf
プライム,輸送用機器,72670,本田技研工業,Honda_Report_2023-jp-all.pdf
プライム,輸送用機器,72700,ＳＵＢＡＲＵ,Ir2023j.pdf
プライム,精密機器,45430,テルモ,TR2023_all_spread_J.pdf
プライム,精密機器,63760,日機装,00.pdf
プライム,精密機器,77410,ＨＯＹＡ,online_report2023_jp.pdf
プライム,精密機器,77470,朝日インテック,asahi-intecc_integrated-report_2023.pdf
プライム,精密機器,77800,メニコン,20231012083938322s.pdf
プライム,その他製品,79110,ＴＯＰＰＡＮホールディングス,00.pdf
プライム,その他製品,79150,ＮＩＳＳＨＡ,NisshaReport2023_A3.pdf
プライム,その他製品,79360,アシックス,file.pdf
プライム,その他製品,79510,ヤマハ,an-2023.pdf
